COSMIC_ID,CELL_LINE_NAME,TCGA_DESC,DRUG_ID,LN_IC50,Z_SCORE
909755,SW837,COREAD,1004,-1.079339,1.200763
1290769,CL-11,COREAD,1004,0.106859,1.771001
905939,HT-29,COREAD,1004,-4.169725,-0.28487
909263,RCM-1,COREAD,1004,1.78372,2.577113
905937,HCT-15,COREAD,1004,-4.149876,-0.275329
924108,CaR-1,COREAD,1004,-3.754497,-0.085259
1789883,DiFi,COREAD,1004,-4.371647,-0.38194
905961,COLO-205,COREAD,1004,-5.391267,-0.872099
907287,HT55,COREAD,1004,-3.209107,0.176925
909757,SW948,COREAD,1004,-4.319812,-0.357021
917486,LS-1034,COREAD,1004,-0.260081,1.594602
910554,CW-2,COREAD,1004,-2.979072,0.287509
1660034,SNU-407,COREAD,1004,-4.031551,-0.218446
1240123,CCK-81,COREAD,1004,-4.046563,-0.225663
905936,HCT-116,COREAD,1004,-5.139451,-0.751044
905989,KM12,COREAD,1004,-5.671325,-1.006731
998189,LS-180,COREAD,1004,-2.929968,0.311115
910700,C2BBe1,COREAD,1004,-0.709798,1.378411
910569,COLO-320-HSR,COREAD,1004,-5.301333,-0.828865
910689,COLO-678,COREAD,1004,3.785991,3.53966
907792,LS-123,COREAD,1004,-1.406865,1.043312
909751,SW48,COREAD,1005,3.662831,0.021851
905962,SW620,COREAD,1005,3.042007,-0.297255
909740,SNU-C2B,COREAD,1005,5.699487,1.068697
909718,SK-CO-1,COREAD,1005,-0.589043,-2.163625
905971,HCC2998,COREAD,1005,3.233054,-0.199056
1674021,SNU-C5,COREAD,1005,3.15066,-0.241407
1659928,SNU-175,COREAD,1005,1.233198,-1.226988
909748,SW1463,COREAD,1005,5.055969,0.737927
907790,LoVo,COREAD,1005,3.726059,0.05435
909746,SW1116,COREAD,1005,5.954401,1.199724
1240124,CL-40,COREAD,1005,2.98188,-0.32816
907795,LS-513,COREAD,1005,3.695919,0.038858
908457,NCI-H747,COREAD,1005,5.306759,0.866834
909698,RKO,COREAD,1005,2.622903,-0.512675
908458,NCI-H716,COREAD,1005,4.283805,0.341033
907794,LS-411N,COREAD,1005,4.699966,0.554941
907291,GP5d,COREAD,1005,3.507713,-0.05788
1240173,MDST8,COREAD,1005,2.435033,-0.609241
909747,SW1417,COREAD,1005,7.506064,1.997283
909761,T84,COREAD,1005,4.809253,0.611115
910905,SNU-C1,COREAD,1005,5.688471,1.063035
909755,SW837,COREAD,1005,5.677289,1.057288
1290769,CL-11,COREAD,1005,4.513134,0.458909
905939,HT-29,COREAD,1005,5.557985,0.995965
909263,RCM-1,COREAD,1005,4.498649,0.451463
905937,HCT-15,COREAD,1005,3.311598,-0.158684
924108,CaR-1,COREAD,1005,5.439774,0.935204
1789883,DiFi,COREAD,1005,3.825267,0.105343
905961,COLO-205,COREAD,1005,4.447666,0.425258
907287,HT55,COREAD,1005,4.689168,0.549391
909757,SW948,COREAD,1005,3.369007,-0.129176
917486,LS-1034,COREAD,1005,4.478297,0.441003
910554,CW-2,COREAD,1005,2.036482,-0.814097
1660034,SNU-407,COREAD,1005,3.072982,-0.281334
1240123,CCK-81,COREAD,1005,4.296645,0.347633
905936,HCT-116,COREAD,1005,1.790829,-0.940364
905989,KM12,COREAD,1005,3.302029,-0.163603
998189,LS-180,COREAD,1005,2.96566,-0.336497
910700,C2BBe1,COREAD,1005,4.028824,0.209972
910569,COLO-320-HSR,COREAD,1005,1.933484,-0.867038
910689,COLO-678,COREAD,1005,8.094005,2.299487
907792,LS-123,COREAD,1005,5.599181,1.01714
1660035,SNU-61,COREAD,1005,5.910903,1.177366
909751,SW48,COREAD,1006,3.336919,0.839271
905962,SW620,COREAD,1006,0.990397,-0.212317
909740,SNU-C2B,COREAD,1006,4.033527,1.151454
909718,SK-CO-1,COREAD,1006,0.022475,-0.646089
905971,HCC2998,COREAD,1006,-0.471764,-0.867581
1660035,SNU-61,COREAD,1006,4.500941,1.360924
1674021,SNU-C5,COREAD,1006,1.298974,-0.074029
1659928,SNU-175,COREAD,1006,-1.967374,-1.537835
909748,SW1463,COREAD,1006,1.34543,-0.05321
907790,LoVo,COREAD,1006,-0.452513,-0.858954
909746,SW1116,COREAD,1006,4.491727,1.356795
1240124,CL-40,COREAD,1006,0.633396,-0.372307
