"CID","MolecularFormula","MolecularWeight","CanonicalSMILES"
52913813,"C24H25F2N3O4",457.500000,"CC(C1=CC(=CC2=C1OC(=CC2=O)N3CCOCC3)C(=O)N(C)C)NC4=CC(=CC(=C4)F)F"
457193,"C62H86N12O16",1255.400000,"CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C"
10184653,"C24H25ClFN5O3",485.900000,"CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4"
5330286,"C24H29N7O2",447.500000,"CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C"
44224160,"C21H22N6O3",406.400000,"COC1=CC=CC2=CC(=C3C4=C(N=CNN4C(=N3)C5CCC(CC5)C(=O)O)N)N=C21"
11327430,"C25H19NO3S",413.500000,"C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56"
71297207,"C31H29N5O3S2",583.700000,"C1CC2=C(C=C(C=C2)C3=NC(=C(S3)CCCOC4=CC=C(C=C4)CN)C(=O)O)C(=NNC5=NC6=CC=CC=C6S5)C1"
25227847,"C31H32N8O5",596.600000,"C1=CC=C2C(=C1)C(=CC(=N2)NC(=O)C3=CC(=CC(=N3)C(=O)NC4=NC5=CC=CC=C5C(=C4)OCCN)OCCN)OCCN"
24180719,"C17H14ClF2N3O3S",413.800000,"CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F"
52918385,"C10H17NO3",199.250000,"COCC1(C(=O)C2CCN1CC2)CO"
24958200,"C19H20N4O",320.400000,"C1CC(CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N"
25099184,"C18H16F2N6",354.400000,"CC1=CC(=NN1)NC2=C(C=C(C(=N2)NC(C)C3=CC=C(C=C3)F)C#N)F"
2726824,"C14H11F3N2OS",312.310000,"C1CSCC2=C1NC(=NC2=O)C3=CC=C(C=C3)C(F)(F)F"
57345410,"C30H42N8O3",562.700000,"CC(C)N(CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C4CC(C4)CCC5=NC6=C(N5)C=C(C=C6)C(C)(C)C"
78243717,"C19H19N3O2",321.400000,"C1C2CN(C1CN2C3=CC=CC=N3)C=CC(=O)C4=CC=CC=C4O"
9936746,"C25H22ClN5O2S",492.000000,"CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)NC4=CC=C(C=C4)O)C5=CC=C(C=C5)Cl)C"
59473233,"C23H21N7O",411.500000,"C1COCCN1C2=CC=C(C=C2)NC3=NC(=CN4C3=NC=C4)C5=CC6=C(C=C5)C=NN6"
1018,"C6H5NO2",123.110000,"C1=CC=NC(=C1)C(=O)O"
2578,"C5H9Cl2N3O2",214.050000,"C(CCl)NC(=O)N(CCCl)N=O"
452548,"C32H32O13S",656.700000,"COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O"
3011155,"C11H15N5O5",297.270000,"COC1=NC(=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)N"
234820,"C22H21BrO7",477.300000,"COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)Br"
